GameFileName,GameName,GameDisplay,MediaSearch,Manufact,GameYear,NumPlayers,GameType,Category,GameTheme,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,Rom,Tags
Airwolf (Original 2020),Airwolf (Original 2020),Airwolf (Original 2020),,Original,2020,,SS,,,Not Available,,,?,"Chucky87, Ivantba, JPSalas, JPJ, JLouLou",1.1,cosmic,
Airwolf (Original 2020),Airwolf (Original 2020),Airwolf (Original 2020),,Original,2020,,SS,,,Not Available,,,?,"Ivantba, JPSalas",1.0,cosmic,
Al Capone (LTD 1984),Al Capone (LTD 1984),Al Capone (LTD 1984),,LTD,1984,4,SS,,American History - Cards - Gambling,https://www.ipdb.org/machine.cgi?id=5176,5176,,?,"Mfuegemann, Carlos Guizzo, Joao Pedras, Gaston",1.0,alcapone,
Aladdin's Castle (Bally 1976),Aladdin's Castle (Bally 1976),Aladdin's Castle (Bally 1976),,Bally,1976,2,EM,,Fantasy - Myth and Legend,http://www.ipdb.org/machine.cgi?id=40,40,,Greg Kmiec,"Dozer, Mjr",1.01,,
Alfred Hitchcock's Psycho (Original 2019),Alfred Hitchcock's Psycho (Original 2019),Alfred Hitchcock's Psycho (Original 2019),,Original,2019,4,SS,,,Not Available,,,?,"Ivantba, JPSalas",1.0,vortex,
Algar (Williams 1980),Algar (Williams 1980),Algar (Williams 1980),,Williams,1980,4,SS,,Fantasy,http://www.ipdb.org/machine.cgi?id=42,42,,Tony Kraemer,"Thalamus, Kalavera, Practisedummy, UncleWilly, LuvThatApex, Kristian, Batch, Flupper, GtxJoe, Bord, Dark, Fren, HauntFreaks, Stat",1.2.2,algar_l1,
Ali (Stern 1980),Ali (Stern 1980),Ali (Stern 1980),,Stern,1980,4,SS,,Sports - Boxing - Licensed Theme,http://www.ipdb.org/machine.cgi?id=43,43,,Harry Williams,"JPSalas, Arngrim",1.0.1,ali,
Alien Poker (Williams 1980),Alien Poker (Williams 1980),Alien Poker (Williams 1980),,Williams,1980,4,SS,,Fantasy - Outer Space - Cards - Gambling,http://www.ipdb.org/machine.cgi?id=48,48,,Edward Tomaszewski,"JPSalas, Akiles50000",1.0.1,alpok_l6,
Alien Star (Gottlieb 1984),Alien Star (Gottlieb 1984),Alien Star (Gottlieb 1984),,Gottlieb,1984,4,SS,,Outer Space - Fantasy,http://www.ipdb.org/machine.cgi?id=49,49,,John Trudeau,"BorgDog, HauntFreaks, Wildman",0.96,alienstr,
Alien Trilogy (Original 2019),Alien Trilogy (Original 2019),Alien Trilogy (Original 2019),,Original,2019,,SS,,,Not Available,,,?,"Ivantba, Lodger",1.0,,
